NUMERO,,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,Anuario 2010,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stone Sour,Fear Factory,Paradise Lost,,,,Candlemass,,,,Opeth,Rata Blanca,Shaman,Jason Newsted,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anathema,Vinnie Paul-Phil Anselmo,,,,,,,,,King Diamond,Hellacopters,Derek Sherinian,Stone Sour,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magika,The Crown,,Amon Amarth,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horcas,,Angra,,,
Desde El Pogo,,Hellfest 2014,Malicia,Revamp,HIM,Sonata Arctica,Dark Tranquility,Off!,Whitesnake,Living Colour,Possessed,Cannical Corpse,Ensiferum,Lacrimosa,Queens of the stone age,Sonata Arctica,Exodus,Kiss,MAUINARIA 2012,Dream Theater,Walter Giardino Temple,Plan 4,Artillety & Exumer,Malon,Sodom,Roger Waters,Anthrax,Malon,Chris Cornell,Guns n´Roses,Whitesnake-Judas Priest,Black Label Society,Limp Bizkit,The Gathering,Alice Cooper,Forbidden,Tributo a V8,Katatonia,Cradle of Filth,,Europe,Therion,Scorpions,Stryper,Biohazard,CJ Ramone,Rata Blanca con Doogie White,Korn,Syrenia,Vince Neil,Angra,Dragonforce,Die Toten Hosen,Children of Bodom,Xandria,CJ Ramone,System of Mercy,Caliban,Kiss,Circle Jerks,Edguy,Motley Crue,Grave Digger,Megadeth,Dream Theater,Iron Maiden,BS AS Metal Fest,Arch Enemy,Dark Funeral,DIO,Destruction,Helloween,,,,Motorhead-Corrosion of Conformity,Anthrax,3 days of darkness Festival,,Metallica,Lollapalooza: Incubus-A perfect circle-Audioslave-Jane´s Adiction,Hammerfall,Alice Copper,,Supejoint Ritual,
,,Swedden Rock 2014,Korpiklaaani,Amon Amarth,Pentagram Chile,Avenged Sevenfold,Kamelot,Yngwie Malmsteen,Limp Bizkit,Helker,Soulfly,Avantasia,Stratovarius,Steven Wilson,Pearl Jam,Lacna Coil,Stryper,Extreme Fest 2012,Sepultura,Rata Blanca,Epica,NOFX,Korpiklaani,Steven Wilson,Lamb of God-Hatebreed-Lacuna Coil,Soulfly,Amorphis,"Cannibal Corpse-Suicide Silence-The Black Dahlia Murder""",Faith no More,Deep Purple,Blind Guardian,Testament,Head,Carajo,Helloween/Stratovaius,Avenged Sevenfold,Tarja,Pestilence,Pennywise ,,Ripper Owens,Queens of the stone age,Tarot,Alakran,Krisiun,Dark Tranquility,Suffocation-Napalm Death,Wasp,P.O.D.,Obituary,The Black Dhalia Murder,Skidrow,GBH-Soziedad Alkoholika,Walls of Jericho,Eddie Spaghetti,The Michael Skenker Group,Rata Blanca,Down by Law,O´Coonor,Anneke,Deep Purple,Carcass,Melvins,Misfits,Paul Dianno,Chris Cornell,Motorhead,In Extremo,NOFX,Sick of it all,Paradise Lost,The Gathering,,,,Kreator-Vader,Cosquin Rock,Gilby Clarke,,Clutch-Mastodon-Nebula,Marduk,Bay Area Thrash Festival,The art of Noise Tour,,Motorhead,
,,Wacken 2014,,Therion,Paradise Lost,,Kreator,,,Plan 4,Metal para toos 6,Tool,Annihilator,Testament-Anthrax,Carcass,Anneke,Nightwish,Asspera,G3,,Coal Chamber,The Agonist,Richie Kotzen,Pain,Sebastian Bach,Hail!,Within Temptation,Children of Bodom,Duff Mckagan´s loeaded,Immortal,Mondo Cane,Symfonia,Jorn,Symphony X,Accept,Tano Romano,Sick of ti all-Comeback kid,Blaze Bayley,Primus,,Millencolin,Sonata Arctica,The 69 Eyes,,Job for a Cowboy,Theater of Salvation,Richie Rotzen,Social Distortion,Benediction,Duncan Patterson,Haggard,The Exploited,Stratovarius,,Sinner-Primal Fear,Lacrimosa,Ill Niño,Amon Amarth,Opeth,As I Lay Dying,Earth Crsis,Epica,Tarja,Whitesnake,Bad Brains,Cosquin Rock,Obituary,The Cult,Madball,Fear Factory,,Deep Purple,,,,,Helmet,Edguy-Kotipelto,,King Crimson,Stratovarius,Shaman,Misfits,,Tool,
,,,,Children of Bodom,,,Steve Vai,,,Rob Zombie,Angra,,Adrenaline Mob + Halestorm,Rata Blanca,Cradle of Filth,Turisas,Tankard,Tim Ripper Owens,Linkin Park,,Die Toten Hosen,Rhapsody of Fire,Therion,Gotthard & Unisonic,Ratos de Porao-Gatillazo,Marky Ramone Blitzkrieg,,Dying Fetus,Bullet for My Valentine,System of a Down,,Devildriver,Mr Big,Plan 4,The Cult,Jane´s Addiction,Michael Schenker Group,O´Connor,Avantasia,,Rammstein,Linkin Park,Hypocrisy,,Shadows Fall,Danny Cavanagh-Anneke,Manowar,Epica,Overkill,Cannibal Corpse,Deicide,Tiamat-Moonspell,Faith No More,,,Hatebreed,Abathema,,New York Dolls,Morbid Angel,In Flames,Symphony X,Sodom,Bande,Deep Purple,Gorgoroth,Testament,Deftones,Toy Dolls,,,Soziedad Alkoholika,,,,,Ministry,Mars Volta,,Monster Magnet,The Misfits,,Anthrax,,Soulfly,
,,Horcas ,,De la Tierra,,,Gamma Ray & Hellloween,,,,All that remains,,Punk Rock Bowling Festival,Black Sabbath,My Dying Bride,,Eluveitie,Whiplash,Metal Para todos,,Europe,Vader,Michael Monroe,Exodus,The Damned,Dimmu Borgir,,,Pearl Jam,Machine Head,,G.B.H.,Grave Digger,Hirax-Rage-Virgin Steele,Finntrol,Journey,Anvil-Primal Fear,,Jeff Beck,,Twisted Sister,Death Angel,Toy Dolls,,Fishbone,Cro Mags-Death before Dishonor,Jeff Scoto & Eric Martin,Marduk,Tano Romano,Cosquin Rock,Venom,Fear Factory,Duff McKagan´s Loaded,,,,,,The adicts,Mago de Oz,,Destruction,Agnostic Front,Tristania,The Datsuns,Suicidal Tendencies,Symphony X,Deep Purple,The Stoogies,,,Brujeria,,,,,,MxPx,,Dream Theater,Primus,,,,,
,,,,Warcry,,,Bad Religion,,,,Corrosion of Conformity,,Almafuerte,Enforcer,Bad Brains,,Paradise Lost,Edguy,Agnostic Front-H20,,Pain of Salvation,,Decapitated,,Jane´s Addiction,,,,,Saxon,,Disturbed,Anathema/Anneke,,Doro,,Exciter,,,,Anthrax,Tano Romano,Lacrimosa,,,Lacuna Coil,ZZ Top,Suicide Silence,Korpiklaani,NOFX,No Demuestra Interes,,Living Colour,,,,,,Less than Jake,,,Mayhem,Belladona,Dark Tranquility,Sonata Arctica,Brujeria,Angra,Ratos de Porao,Anathema ,,,The Hellacopters,,,,,,,,The Dillinger Escape Plan,King Diamond-Entombed,,,,,
,,,,,,,Transatlantic,,,,Serpentor,,30 años luchando por el metal,,Massacre,,,Scott Weiland,Pennywise,,,,Raven,,Amon Amarth,,,,,Bad Religion,,,,,U.D.O.,,,,,,Jello Biafra,Incubus,Lamb of God,,,Virgin Steele,Gamma Ray,,Dream Theater,,,,Kreator/Exodus,,,,,,Die Toten Hosen,,,The Cult,,Avantasia,Behemoth,Exodus,Mago de Oz,,Stratovarius,,,Mago de Oz,,,,,,,,The Gathering,,,,,,
,,,,,,,Nile,,,,Violator,,Marky Ramone Blitzkrieg,,Symphony X,,,Dinosaur Jr,CJ Ramone,,,,Paul Di´Anno,,Jello Biafra & The Guantanamo School of Medicine,,,,,Onslaught,,,,,Angra,,,,,,Buzzcocks,,,,,Imperio (Gustavo Gorosito),,,,,,,Ripper Owens,,,,,,,,,Paradise Lost,,,Imperio,Incubus,Soulfly,,Doro,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Down,,,,Marillion,,,,Barón Rojo,,Brujería,,,,,,,,,,Heaven Shall Burn/As I Lay Dying,,,,,,Marky Ramone Blitzkrieg,,,,,Darthrone (Gylve Nagell)),,,,,,,Killswitch Engage,,,,,,,,,Judas Priest,,,Heolloween-Gamma Ray,Yngwie Malmsteen,Velvet Revolver,,G3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,The metal Fest (Chile),,,,Truckfighters,,,,,,MIsfits,,,,,,,,,,,,,,,,Mago de Oz,,,,,,,,,,,,,,,,,,,,,Stone Temple Pilots,,,,Madball,Bad Religion,,Edguy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Iced Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Haunted,,,,Marilyn Manson,Aerosmith,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nightwish,,,,,Evanescence,,,,,,,,,,,,,,,,,,,
Sobrevivientes al Rock,,Pato Larralde,,Eric Wagner,,,,Mina Caputo,,,,,,"Adrian Outeda (Satan Dealers, NDI)",,,,,,,,Jeff Becerra (Possesed),Andrés Giménez,,,,Paul Speckman,,,Walter Martinez (Almafuerte-Vorax),,Anton Resisenegger (Criminal-Pentagram-Look Up),Eddie Walker,Brian Welch (Korn),Domingo Felice (Retrosatan),Fabian Spataro (Mark I-Hermetica-V.A.G-O.),Gustavo Rowek (V8-Rata Blanca-Nativo),Steve Kudlow (Anvil),Marcelo Pocavida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los ""otros"" (no todos quieren tocar la guitarra todo el día…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mick Wall,,,,,Ester Segarra,Don Jamieson,,,Webmaster de Megadeth,Albert Mudrian,,,Joel Mclver,Melissa Cross,,,Miguel Mora ,Carlos Tortola,"Annick ""Morbid Chef"" Giroux",Holger Tiefenbach,Gustavo Olmedo,Jens Pruter (Century Media),Carlos Zarate (Icarus),Sean Yseult (exbajista White Zombie),"San Dunn (director de Flight 666, etc)",Arik Roer (ilustrador),Joe Petagno(ilustrador),Steve Thopson (Productor),,,,,,,,,,,,,,,,,,,,,,,,,
Gracias por la magia,,,Venom: Welcome to hell,,Bloke: Demolición,Therapy: troublegum,,,,Paradise Lost: Draconian Times,,Cradle of Filth: The principle of Evil made flesh,,Pestilence,Manowar: Kings of metal,Katatonia: Brave Murder Day,,Amorphis: Elegy,,Pentagram (no la de Chile!),Agnostic Front: Cause for alarm,,, Diamond Head: Lightning to the nations,Lamb of God: As the palaces burn,,"Riot ""Thundersteel""",Dimmu Borgir: Stormblast,Fugazzi: Repeater,,Sepultura: Arise 20 años,Voivod: Nothingface,,,Neurosis: Enemy of the sun,Accept: Balls to the wall,Ozzy (Diary of a madman),Scorpions: Blackout,Saint Vitus: Born too late,,,Rhapsody: Legendary Tales,Cynic: Focus,The Gathering: Mandylion,Angra: Holy Land,Trouble: Manic frustration,Annhililator: Alice in hell,Peter Steele,,"Skid Row ""Slave to the grind""","Soundgarden ""Badmotorfinger""","Exodus ""bounded by Blood""","Hermética ""Hermética""",Biohazard: Urban Discipline,The Wildhearts,Anathema,Megadeth: Rust in Peace,Prong: Cleansing,The Haunted: The Haunted,Eyehategod: take as needed for Pain,Spiritual Beggars: Ad Astra,,A.N.I.M.A.L.: Fin de un mundo enfermo,Helloween: Keeper of the seventh keys,Mercyful Fate: Melissa,Ozzy Osboourne: Blizzard of Ozz,Rage Against teh machine,At The Gates: Slaughter of the soul,Korn: Korn,Iron Maiden: Iron Maiden,Nirvana: Nevermind,Metallica: Master of Puppets,,,,Kyuss: Welcome to sky valley,Ramones: Ramones,Sepultura: Arise,,,,,,,,
Informes Especiales,,10 re-grabaciones que NO deberían existir,Los 10 discos argentinos mas arriesgados,,Rock Ocultista,Metallica en Argentina,Encuesta Jedbanger: 2013,AC DC,Iron Man: Tony Iommi,Iron Maiden en River,,Motley Crue,,,,,Encuesta Jedbangers 2012,Lo mejor de 2012 según Jedbangers,,El regreso del Vinilo,,,,"""El pais que nomiramos Pt. 3"": Frater, Narcoiris-Corales-Winter of Summer-Arpeghy",,,"""Metal Ocultista"": In Solitude-Devil-Year of the goath-The Devil´s Blood","""Encuesta Jedbangers 2011""/""Especial Death Metal"": Miasmal-Morbus Chron-Feral-Bastard Priest-Mr Death",,,,"""El pais que nomiramos Pt. 2"": Criptofonia-Cabrocordero-Calvario-No Geuura-Before The Infection",,"Acero Argento: ""Los 30 mejores discos de la musica pesada nacional""","""El pais que nomiramos Pt. 1"": Alimaña-Tungsteno-Random-Mayan S.A.-Tempestor",,,"""10 bandas para conocer"": Havok-Grayceon-Krallice-Chickenhawk-Holy Grail-Darkest Era-Hail of Bullets-A Pale horse named death-Dommin-Morne-Hail of Bullets","""Mejor Banda 2010""","""Los Mejores 10 discos 2010""",,,,"""THRASH se escribe con H""",,,,,,"""Los 50 mejores discos de la década 200-2009""","""Encuesta 2009""",,"""Thrash Metal Argentino Pt II""",Ser Thrash Metal en Argentina (Serpentor-Tungsteno-Criptofonia),Raro tenes el orto: Estilos raros,,,Hard Rock XXI,,Powermetal: nueva generación,Encuesta Jedbangers 2008,,,,Encuesta Jedbangers 2007,,,Encuesta 2006,,,,Encuesta Jedbangers 2005,,,,Blackmetal,Encuesta Jedbangers 2004,New Wave of American Heavy Metal,,Grunge,Encuesta Jedbangers 2003,Deftones / NOFX,Tributo a RAMONES,,STONER ARGENTINO,
,,,,,,Pantera a 20 años de Far Beyond Driven,Los 15 disco más esperados 2014,Encuesta Jedbanger: lo mejor de Jedbanger 2013 (según ellos),Black Sabbath-Megadeth (en La Plata),BS AS Post Hardcore: Coralies-Melian-Deny,METALLICA: 10 HITOS,,BLACK SABBATH,JEFF HANNEMAN,,,V8: 30° aniversario de Luchando por el metal,,,DEEP PURPLE: Machine Head °40 ANIVERSARIO,20° COUNTDONW TO EXTINCTION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informe PROGRESIVO,LOS 50 MEJORES GUITARRISTAS,Especial Progresivo: Porcupine Tree / Rush,Revival THRASH: Bonded by Blood-Evile-Gama Bomb-Lazarus A.D.,Extremo: Psyopus-Buried Inside-Watain-Cattle Deacapitation,Maiden en Velez,,Bandas Under,METALLICA: DEATH MAGNETIC,Ser metalero cristiano en Argentina,Ser Black Metal en Argentina,Los 10 mejores discos del 2007 según Jedbangers,,Los 10 mejores discos del 2006 según Jedbangers,,,,Los  mejores 50 discos del Punk,,,,Discografia: Hair Metal,Metalcore sensible: Mychemical romance-Avenged Sevenfold-The used-ETC,Kurt Cobain / Dimebag Darrel 1966-2004,, Jurassic Rock: Led Zeppelin,Varg Vikernes / Gothic Metal,METALLICA: St Anger,Metal Experimental,,White Metal,
,,,,,,,Hermetica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOOM: Rwake-Blood Ceremony- The gates of Slumber,,Ser Death Metal en ARG: Eternal Grave-Exterminio-Prion,,,,,,,,Los 40 discos nacionales + esperados para 2008,,,,,,,,,,"SUPLEMENTO EXTRA-NOTAS: Richie Kotzen, Dream Master, Demenica, Kefren, Minoria Activa, Those endless eyes, Hell Within, Eternal Grave",SUPLEMENTO EXTRA-NOTAS: Reconcile-Chrisallys-Pelican-Venus Fisica-Social Shit-Taura-Skiltron-Lord Divine,Mastodon-Cult of Luna-Isis-Neurosis,,,IRON MAIDEN / Jurassic Rock: Black Sabbath,Funk Metal / Jurassic Rock: David Bowie,GUNS N´ROSES,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THRASH METAL: Origenes-Los Grandes-Resto del Mundo-Modernos-Cronología,,,DAMAGEPLAN / PROBOT,,Jurassic Rock: Jimi Hendrix,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Wave of British Heavy Metal,Prong-Helmet-Suicidal Tendencies,,,Mars Volta-A perfect Circle,Marilyn Manson,Hardcore Melódico Pt II,,,
Sream for me,,Planeta de los simios-Turn the page-True Detective,A million ways to die in the west-perros de paja-What we do is secret,X-men-Eden Lake-Brothers of the hed,Fantasmas de la ruta-La Sospecha(Prisioners)-Pirate Radio,Inside Llewyn Davis-Fargo-El Gran Lbowski,El lobo de wall street-Art School Confidential-Wolfen,This is the end-Thins to do in Denver when you are dead-Cabezas Huecas,,Thrash 2: las tetas de anal-Synecdoche NY-Beavis and Butt-head Do America,Dracula 3D-Hermanos de sangre-El último gran heroe,The lords of salem-Napoleon Dinamita-BS AS Hardcore Punk: documental 2009,La corporacion-Tulpa-Hated: GG Allin & The murder Yunkies,,Iron man 3-Mujer Lobo-Sound City,La memoria del muerto-Muertos de miedo-Pearljam 20,Sjango sin cadenas-Nekromantik-Black Sabbath,Diablo-Goretech-Firecracker,Argo-Maniac Cop-Joe Strummer,Ted-Making of sangriento-Dias de Vinilo,Batman Caballero de la Noche-American Movie-Fubar,La era del rock-The onanist-Casi famosos,Prometeo-Dia de los muertos-White Zombie,,Revolucion Toxica-Noche Alucinante-Usi/Disi,,,,,,,,,,,Lemmy: the movie-Dinero Sucio-Sadomaster,Kartal Yuvasi-Balada Trsite de Trompeta-Alien vs Ninja,Como sobrevivir a un rockero-Tesis-Zodiaco,Braindead-Possesion-I Love you man,,Scott Pilgrim vs the world-Celda 21-El hada buena,,Suck-Rush:Betong the lighted stage-Joy,Svatage Streets-Centurion-Mutant Director´s cut,Knock off-Miracle Mile-Robot Ninja,Angel de venganza-Comisario Ferro-Noches sin lunas ni soles,No way home-The unscarred-Life is hot in cracktown,Bleeder-The exterminator 2-Ex Drummer,The last hunter-Fingers- 6 Guns,Solo quiero caminar-The hills run red-Bone dry,The hunt for the BTK Killer-Vengeance-Les sleeping corpses lie,Highwaymen-Marked for death-Megafault,"No way home-Screwballs-Bonus track ""Night of the creepers""",Anvil-Witchmaster general-the girl with the dragon tatoo,La casa del miedo-Life sis hot in cractown-the good the bad and the weird,Martyrs-Combat Shcok-Yo soy pocavida,Santa Sangre-Visitor Q-Cut and Run,JCVD-Cat in the brain-Megashark vs Octopus,,,L´intinct de mort-Against the dark-Chopping Mall,Encarnacao do demonio-ILS-Naboer,Let the rain one in-Hair extensions-A bittesweent life,With blood on my hands: Pusher 2-A´linterieur-El poyecto del pitufo Enrique,Forced entry-God tolme to-Cruising,Diabel-El ejecutor-Master of horror:imprint,The abandoned,Sheita-Burda Ho tep-City of Rot,Hardware-Street Trash-Nemesis la era final,Shock o rama-Porn of the dead-Survive Style 5,Andre the butcher-Cemetary man-El mas alla,,,,,,,,,,,,,,,
"REVIEWS ""Corte de Justicia""",,Judas Priest,Mastodon,Cowbar,Tributo a DIO,Gamma Ray,Behemoth,Motorhead,Korn,Carcass,Vista Chino,Alice in chains,Megadeth,Deep Purple,Killswitch Engage,Spiritual Beggars,Helloween,Soundgarden,Almafuerte,Steve Harris,Testament,Baroness,"Rush ""Clockwork Angels"": 9 (9-8-7)",,Overkill,Cannibal Corpse 8,,,,,,,,,,,,,Motorhead: The world is yours8,,,,,,,,,Slash: Slash9 y 6,,,,,,Alice in Chains,Endgame,Divine Heresy,Dream Theater,Marilyn Manson,Heaven and Hell,Mastodon,Lamb of God,Guns N´ Roses,Slipknot,Judas Priest,Cavalero Conspiracy,Nightwish,Ozzy Osbourne,Machine Head,Deftones,Iron MAiden,Rebel Meets Rebel,Queensryche,,,,Spiritual Begars,Anthrax,Mastodon,,Fear Factory,Arch Enemy,Lamb of God,Anthrax,,Soulfly,
,,Overkill,Arche Enemy,Down,Agalloch,Sonata Arctica,Red Dragon Cartel,Black Flag,Death Angel,Ministry,Serj Tankian,Kadavar,Black Dhalia Murder,Melvins,Hypocrisy,Darkthrone,Bad Religion,Defontes,Kiss,Down ,The Darkness,Manowar,"Slash ""Apocalyptic Love"": 7 (7-6-5-5)",,Meshuggah,Napalm Death 8,,,,,,,,,,,,,Behemoth: Evangelia Heretika8,,,,,,,,,Avantasia: Angel Of Babylon & The Wicked Symphony6,,,,,,Kiss,Acid Rain,Arkaea,1349,Amorphis,Believer,Napalm Death,Blood Ceremony,Bloodparade,Alice Cooper,Cabezones,Meshuggah,Tarja,Kamelot,Type o Negative,Horcas,Motorhead,Ian Gillan,Darkthrone,,,,Corrosion of Conformity,Black Label sociey,The Haunted,,In Flames,Hammerfall,Evanescence,Lacrimosa,,Motorhead,
,,Iorio,Body Count,Eyehategod,A.C.T.,Crosses,Denners Trickbag,Apocalyptica,Onslaught,Nine inch nails,Age of Taurus,Orchid,A pale horse named death,Arsis,Amprphis,2112,Bad Brains,Antimatter,Kamelot,Whichcraft,Dew-Scented,Jork,"Amon ""Liar in wait"": 9",,Adrenaline Mob,3 Inches of blood 8,,,,,,,,,,,,,HDE P.E.: Truth Rising7,,,,,,,,,Abcess: Down of fumanity8,,,,,,Ace,Albedrio,Behold! The monolith,Antimatier,Anneke,Brutal Truth,Abacabb,Bokrug,Darkane,Amon Amarth,Glenn Hughes,Ministry,Candlemass,Velvet Revolver,Therion,Cradle of Filth,Papa Roach,Red Hot Chilli peppers,Amorphis,,,,System of a Down,Masterplan,Isis,,Dream Theater,Almafuerte,Type o Negative,Linkin Park,,Arcturus,
,,Ararat,Boris,Bloke,Arkona,Animal as leaders,Adrenaline Mob,Atlantean Kodex,Dream Theater,Satyricon,Asking Alexandria,Amon Amarth,Anvil,CliveNolan,Bring me the horizon,Biffy Clyro,Beto Vazquez Infinity,Graveyeard,Anaal Nathrak,Andre Matos,Nachtmystium,Gojira,,,Arkanos,Caliban 6,,,,,,,,,,,,,Agalloch: Marrow of the spirit9,,,,,,,,,Annihilator: Annihilator6,,,,,,Frehley,Assjack,Black Pyramid,Hatebreed,Aorta,Earth Crsis,Avenged Sevenfold,Disfear,Edguy,Anathema,Grand Magus,NIN,Amorphis,Dimmu Borgir,Cluth,Paul Stanley,Between the Burid and me,Dissection,Daid Gilmour,,,,Meshuggah,Apocalyptica,Static X,,Exodus,Destruction,Deftones,Strapping Young Lad,,The Hellacopters,
,,Devas,Burzum,Autopsy,Autrian Death Machine,Architects,Beastmilk,Dethlok,Soulfly,Avulsed,Born of Osiris,Autopsy,Burzum,Andy Winter,Ghost,Buffalo,Yngwie Malmsteen,AC/DC,As I Lay Dying,Bullet,Asia,Die Toten Hosen,,,Asphyx,Axel Rudi Pell 5,,,,,,,,,,,,,"Bane: Chaos, Darkness & Emptiness8",,,,,,,,,Bison B.C.: Dark Ages8,,,,,,Vader,Andreas Kisser,Born of Osiris,Darkest Hour,Ripper Owens,Emperor,Buried Inside,Sepultura,Exodus,Blackmore´s night,Venom,Whitesnake,Exodus,Pelican,Ian,Death Breath,NOFX,The Berzerker,Venom,,,,Sentenced,The mars volta,Amon Amarth,,Fu Manchu,Carajo,Satan Dealres,The Haunted,,Los Natas,
,,Empyrium,Cannabis Corpse,Beto Vazquez Infinity,Emmure,Bigelf,Angra,Falkenbach,Trivium,Aexhumed,Edenbridge,The Dillinger escape plan,Children of Bodom,HIM,Free Fall,Carneross,Alma Matter,All that remains,My Dying Bride,CryptosyDokken,Attika7,Dying Fetus,,,Aurora Noir,Beneath the Massacre 6,,,,,,,,,,,,,Dark Moor: Ancestral Romance7,,,,,,,,,Deftones: Diamond Eyes9,,,,,,Peral Jam,Bloody Panda,Job fof a Cowboy,The Mars Volta,Edguy,Canldemass,Hammerfall,In this moment,Evergrey,Black Tide,Nachtmystium,The Cult,Electric Wizard,Immolation,D-Mente,Hammerfall,Stone Sour,Tool,In Flames,,,,Living Colour,Church of misery,Rhapsody,,Cannibal Corpse,King Crimson,Marilyn Manson,Endless,,Blaze,
,,Ill Niño,Darkest Era,Arthois,Enthroned,Caliban,Brain Dead,Plan 4,Running Wild,God is an Astronaut,Five Fonger Death Punch,August burn red,Boris,Dream Death,Avantasia,Adrenaline Mob,Arraigo,Cradle of Filth,Five Horse Johnson,Grave Digger,Bonded by Blood,Hellyeah,,,Barren Earth,Christian Mistress 8,,,,,,,,,,,,,Alice Copper: Theater of death7,,,,,,,,,Enthroned: Pentagrammaton8,,,,,,3 Inches of blood,August burns red,Suicide Silence,Artillery,Green Day,Chimaira,Delain,Horcas,Gojira,Walls of Jericho,Deicide,Hate eternal,High on fire,Poison the well,Dying Fetus,Rhapsody of Fire,Unearth,Atreyu,Edguy,,,,Millencolin,Diecast,Zao,,The Locust,Horcas,Sonata Arctica,The Tormentos,,DIO,
,,Grave Digger,Falconer,Bloody Hammers,Gotthard,Cripple Bastards,Alcest,Generation Kill,Dregen,Annihilator,Fueled by Fire,Baroness,Dark Tranquility,Drowning Pool,Devil,Afterdreams,Audrey Horne,Black Country Communion ,Ill Niño,Teh Gathering,Dublin Death Patrol,Isahn,,,The Mars Volta,Angel Witch 7,,,,,,,,,,,,,Deep Purple: Come taste teh badn 35th anniversary9,,,,,,,,,Cathedral: The Guessing Game 8,,,,,,Andre Matos,Alamfuerte,Behemoth,Clutch,Birds of prey,Chucrh of Misery,Eagles of death metal,Logos,Bloodbath,Motorhead,Tiamat,Rotten Sound,Jesus Martyr,Rush,Delain,My Dying Bride,O´Connor,Mission of Burma,Krisiun,,,,Enslaved,Hammerfall,Hermano,,Jeriko,Ulver,Ministry,Señor Mojon,,Malon EP (sin O´Connor),
,,Goatwhore,Capilla Ardiente,Elvenking,Black Label Society,Carnifex,Black Magic,Ghost,Anekke,Michael Monroe,Blacksmore´s night,Black Stars Riders,Deny,Rob Zombie,Fuego Interior,Anthrax,Black Veil Brides,Steven Wilson,Shining,Tarja,Ensiferum,Linkin Park,,,High on fire,Coldworker 9,,,,,,,,,,,,,Exciter: Death Machine6,,,,,,,,,Coheed and Cambria: Year of the black rainbow9,,,,,,Caliban,Brunt by the sun,Die toten Hosen,Deny,Cruzdiablo,Extreme noise terror,Chris Cornell,Misery Index,Cynic,Head,Krisiun,Dismember,Soilwork,Antimatter,Onslaught,Intronaut,Mastodon,Nigthwish,Rob Zombie,,,,Minoria Activa,Buzzcocks,Astroqueen,,Black Rebel Motorcycle Club,Nightrage,Therion,Buffalo,,Millencolin,
,,Entombed S.A.,Mayhem,Deep Purple,Mutation,De la Tierra,Black Trip,Heaven and Earth,Ashes of Ares,Pentagram Chile,Havok,Darkane,Eternal Grave,Immolation,Gama Bomb,Iron Maiden,Cult of Luna,Porcupine Tree,Plan 4 DVD,Devin Townsend Project,Lita Ford,Wig Wam,,,Bertoncelli,O´Connor 5,,,,,,,,,,,,,Hardcore Superstar: Split your lip7,,,,,,,,,Die Toten Hosen: Machmalauter7,,,,,,Dying Fetus,Dead Swans,Eternal Grave,Disarmona Mundi,Emerson-Hughes-Bonilla,Gamma Ray,Cattle Decapitation,Origin,AC/DC,All Shall Perish,Stonerider,Hellhammer,Obituary,The 69 eyes,Coldworker,The Haunted,Tragedy,Scar Simetry,Sigh,,,,Mudvayne,Mortician,Converge,,Monster Magnet,Sensacional Plasma,Hanoi Rocks,Joe Satriani,,Horcas,
